State;5 - Temperature;6 - Temperature;8 - Temperature;T-101 - Spec Value (Reflux Ratio);T-101 - Spec Value (Distillate Rate);T-100 - Spec Value (Distillate Rate);10 Out - Master Comp Molar Flow (diM-Ether);15 - Master Comp Molar Flow (Methanol);SPRDSHT-1 - A10: Q_sum
Case 162;240.00;340.00;103.33;1.77;60.00;116.67;106.34;36.57;51383426.04
Case 163;240.00;340.00;103.33;1.77;60.00;123.33;106.43;29.85;52854956.35
Case 164;240.00;340.00;103.33;1.77;60.00;130.00;106.49;23.24;53982608.46
Case 165;240.00;340.00;103.33;1.77;66.67;110.00;107.39;42.15;51030119.42
Case 166;240.00;340.00;103.33;1.77;66.67;116.67;107.71;35.23;52793213.57
Case 167;240.00;340.00;103.33;1.77;66.67;123.33;107.86;28.49;54300434.99
Case 168;240.00;340.00;103.33;1.77;66.67;130.00;107.92;21.82;55257200.54
Case 169;240.00;340.00;103.33;1.77;73.33;110.00;108.67;40.88;52306406.21
Case 170;240.00;340.00;103.33;1.77;73.33;116.67;109.07;33.88;54192180.27
Case 171;240.00;340.00;103.33;1.77;73.33;123.33;109.26;27.10;55738873.55
Case 172;240.00;340.00;103.33;1.77;73.33;130.00;109.32;20.41;56586403.39
Case 173;240.00;340.00;103.33;1.77;80.00;110.00;109.85;39.68;53503822.30
Case 174;240.00;340.00;103.33;1.77;80.00;116.67;110.42;32.57;55577159.71
Case 175;240.00;340.00;103.33;1.77;80.00;123.33;110.63;25.73;57172396.25
Case 176;240.00;340.00;103.33;1.77;80.00;130.00;110.71;19.01;57972719.67
Case 177;240.00;340.00;103.33;2.00;60.00;110.00;106.22;43.31;50530470.06
Case 178;240.00;340.00;103.33;2.00;60.00;116.67;106.52;36.43;52206117.76
Case 179;240.00;340.00;103.33;2.00;60.00;123.33;106.64;29.72;53679855.74
Case 180;240.00;340.00;103.33;2.00;60.00;130.00;106.70;23.05;55064745.76
Case 181;240.00;340.00;103.33;2.00;66.67;110.00;107.57;42.01;51933823.51
Case 182;240.00;340.00;103.33;2.00;66.67;116.67;107.90;35.06;53706133.26
Case 183;240.00;340.00;103.33;2.00;66.67;123.33;108.07;28.31;55215350.67
Case 184;240.00;340.00;103.33;2.00;66.67;130.00;108.14;21.61;56620111.67
Case 185;240.00;340.00;103.33;2.00;73.33;110.00;108.84;40.75;53291370.63
Case 186;240.00;340.00;103.33;2.00;73.33;116.67;109.28;33.70;55196053.95
Case 187;240.00;340.00;103.33;2.00;73.33;123.33;109.48;26.89;56746375.50
Case 188;240.00;340.00;103.33;2.00;73.33;130.00;109.56;20.18;58170598.61
Case 189;240.00;340.00;103.33;2.00;80.00;110.00;109.95;39.58;54588481.45
Case 190;240.00;340.00;103.33;2.00;80.00;116.67;110.64;32.37;56671564.05
Case 191;240.00;340.00;103.33;2.00;80.00;123.33;110.86;25.49;58271478.23
Case 192;240.00;340.00;103.33;2.00;80.00;130.00;110.96;18.76;59719428.89
Case 193;240.00;340.00;110.00;1.30;60.00;110.00;105.41;43.86;47592024.46
Case 194;240.00;340.00;110.00;1.30;60.00;116.67;105.69;37.10;48507035.90
Case 195;240.00;340.00;110.00;1.30;60.00;123.33;105.77;30.44;47951405.30
Case 196;240.00;340.00;110.00;1.30;60.00;130.00;105.79;23.89;47519455.80
Case 197;240.00;340.00;110.00;1.30;66.67;110.00;106.72;42.63;48731687.92
Case 198;240.00;340.00;110.00;1.30;66.67;116.67;107.02;35.80;49436068.41
Case 199;240.00;340.00;110.00;1.30;66.67;123.33;107.14;29.09;48986873.17
Case 200;240.00;340.00;110.00;1.30;66.67;130.00;107.17;22.52;48439138.48
Case 201;240.00;340.00;110.00;1.30;73.33;110.00;107.99;41.43;49838880.15
Case 202;240.00;340.00;110.00;1.30;73.33;116.67;108.35;34.51;50661492.06
Case 203;240.00;340.00;110.00;1.30;73.33;123.33;108.49;27.75;50095115.10
Case 204;240.00;340.00;110.00;1.30;73.33;130.00;108.53;21.16;49438883.83
Case 205;240.00;340.00;110.00;1.30;80.00;110.00;109.15;40.26;50902647.76
Case 206;240.00;340.00;110.00;1.30;80.00;116.67;109.65;33.25;51998120.08
Case 207;240.00;340.00;110.00;1.30;80.00;123.33;109.84;26.49;51281426.35
Case 208;240.00;340.00;110.00;1.30;80.00;130.00;109.88;19.81;50519268.49
Case 209;240.00;340.00;110.00;1.53;60.00;110.00;105.72;43.64;48372952.38
Case 210;240.00;340.00;110.00;1.53;60.00;116.67;106.03;36.82;50026452.64
Case 211;240.00;340.00;110.00;1.53;60.00;123.33;106.14;30.11;51061548.61
Case 212;240.00;340.00;110.00;1.53;60.00;130.00;106.18;23.52;50892819.09
Case 213;240.00;340.00;110.00;1.53;66.67;110.00;107.06;42.40;49592592.91
Case 214;240.00;340.00;110.00;1.53;66.67;116.67;107.39;35.50;51333648.73
Case 215;240.00;340.00;110.00;1.53;66.67;123.33;107.54;28.78;52271433.47
Case 216;240.00;340.00;110.00;1.53;66.67;130.00;107.59;22.13;52003151.18
Case 217;240.00;340.00;110.00;1.53;73.33;110.00;108.31;41.17;50779504.09
Case 218;240.00;340.00;110.00;1.53;73.33;116.67;108.73;34.18;52632811.77
Case 219;240.00;340.00;110.00;1.53;73.33;123.33;108.92;27.42;53548194.61
Case 220;240.00;340.00;110.00;1.53;73.33;130.00;108.98;20.74;53179710.43
Case 221;240.00;340.00;110.00;1.53;80.00;110.00;109.49;40.01;51904984.71
Case 222;240.00;340.00;110.00;1.53;80.00;116.67;110.06;32.90;53919227.03
Case 223;240.00;340.00;110.00;1.53;80.00;123.33;110.27;26.07;54895889.48
Case 224;240.00;340.00;110.00;1.53;80.00;130.00;110.35;19.36;54420227.17
Case 225;240.00;340.00;110.00;1.77;60.00;110.00;105.96;43.50;49171861.27
Case 226;240.00;340.00;110.00;1.77;60.00;116.67;106.26;36.63;50835465.70
Case 227;240.00;340.00;110.00;1.77;60.00;123.33;106.40;29.87;52304682.52
Case 228;240.00;340.00;110.00;1.77;60.00;130.00;106.46;23.26;53634743.71
Case 229;240.00;340.00;110.00;1.77;66.67;110.00;107.29;42.23;50480044.84
Case 230;240.00;340.00;110.00;1.77;66.67;116.67;107.65;35.28;52232591.55
Case 231;240.00;340.00;110.00;1.77;66.67;123.33;107.82;28.53;53737561.84
Case 232;240.00;340.00;110.00;1.77;66.67;130.00;107.89;21.85;54923081.63
Case 233;240.00;340.00;110.00;1.77;73.33;110.00;108.54;40.99;51750870.37
Case 234;240.00;340.00;110.00;1.77;73.33;116.67;109.01;33.95;53621117.65
Case 235;240.00;340.00;110.00;1.77;73.33;123.33;109.21;27.15;55165267.06
Case 236;240.00;340.00;110.00;1.77;73.33;130.00;109.29;20.44;56269502.06
Case 237;240.00;340.00;110.00;1.77;80.00;110.00;109.71;39.83;52947539.61
Case 238;240.00;340.00;110.00;1.77;80.00;116.67;110.35;32.64;54996962.15
Case 239;240.00;340.00;110.00;1.77;80.00;123.33;110.59;25.77;56587441.00
Case 240;240.00;340.00;110.00;1.77;80.00;130.00;110.68;19.04;57672434.44
Case 241;240.00;340.00;110.00;2.00;60.00;110.00;106.13;43.39;49987943.62
Case 242;240.00;340.00;110.00;2.00;60.00;116.67;106.45;36.49;51656262.85
Case 243;240.00;340.00;110.00;2.00;60.00;123.33;106.61;29.76;53130293.64
Case 244;240.00;340.00;110.00;2.00;60.00;130.00;106.67;23.07;54512891.97
Case 245;240.00;340.00;110.00;2.00;66.67;110.00;107.47;42.10;51384549.51
Case 246;240.00;340.00;110.00;2.00;66.67;116.67;107.84;35.12;53146207.99
Case 247;240.00;340.00;110.00;2.00;66.67;123.33;108.03;28.35;54649134.67
Case 248;240.00;340.00;110.00;2.00;66.67;130.00;108.11;21.62;56053923.50
Case 249;240.00;340.00;110.00;2.00;73.33;110.00;108.72;40.85;52741053.01
Case 250;240.00;340.00;110.00;2.00;73.33;116.67;109.21;33.77;54626000.62
Case 251;240.00;340.00;110.00;2.00;73.33;123.33;109.43;26.94;56172362.42
Case 252;240.00;340.00;110.00;2.00;73.33;130.00;109.53;20.21;57595989.47
Case 253;240.00;340.00;110.00;2.00;80.00;110.00;109.85;39.70;54029721.67
Case 254;240.00;340.00;110.00;2.00;80.00;116.67;110.56;32.45;56091979.16
Case 255;240.00;340.00;110.00;2.00;80.00;123.33;110.82;25.56;57681239.69
Case 256;240.00;340.00;110.00;2.00;80.00;130.00;110.93;18.80;59133770.10
Case 257;240.00;346.67;90.00;1.30;60.00;110.00;110.03;38.75;47916992.81
Case 258;240.00;346.67;90.00;1.30;60.00;116.67;111.36;31.34;48543737.81
Case 259;240.00;346.67;90.00;1.30;60.00;123.33;111.47;24.71;48066646.29
Case 260;240.00;346.67;90.00;1.30;60.00;130.00;111.47;18.12;47516051.31
Case 261;240.00;346.67;90.00;1.30;66.67;110.00;109.97;38.67;49238074.42
Case 262;240.00;346.67;90.00;1.30;66.67;116.67;112.84;29.91;49692850.58
Case 263;240.00;346.67;90.00;1.30;66.67;123.33;112.99;23.20;49051493.21
Case 264;240.00;346.67;90.00;1.30;66.67;130.00;113.00;16.61;48456182.00
Case 265;240.00;346.67;90.00;1.30;73.33;110.00;110.02;38.57;50557722.00
Case 266;240.00;346.67;90.00;1.30;73.33;116.67;114.25;28.43;50815310.82
Case 267;240.00;346.67;90.00;1.30;73.33;123.33;114.51;21.73;50180947.88
Case 268;240.00;346.67;90.00;1.30;73.33;130.00;114.51;15.10;49490005.24
Case 269;240.00;346.67;90.00;1.30;80.00;110.00;109.99;38.73;51855054.71
Case 270;240.00;346.67;90.00;1.30;80.00;116.67;115.69;27.10;52343155.08
Case 271;240.00;346.67;90.00;1.30;80.00;123.33;115.99;20.28;51398093.90
Case 272;240.00;346.67;90.00;1.30;80.00;130.00;116.01;13.60;50580804.85
Case 273;240.00;346.67;90.00;1.53;60.00;110.00;109.94;39.02;48732226.61
Case 274;240.00;346.67;90.00;1.53;60.00;116.67;111.75;31.05;50717943.74
Case 275;240.00;346.67;90.00;1.53;60.00;123.33;111.89;24.34;51331903.89
Case 276;240.00;346.67;90.00;1.53;60.00;130.00;111.91;17.71;51066560.80
Case 277;240.00;346.67;90.00;1.53;66.67;110.00;110.02;38.78;50165880.68
Case 278;240.00;346.67;90.00;1.53;66.67;116.67;113.24;29.58;51952308.64
Case 279;240.00;346.67;90.00;1.53;66.67;123.33;113.44;22.81;52486827.27
Case 280;240.00;346.67;90.00;1.53;66.67;130.00;113.47;16.15;52187113.34
Case 281;240.00;346.67;90.00;1.53;73.33;110.00;110.01;38.83;51576642.96
Case 282;240.00;346.67;90.00;1.53;73.33;116.67;114.71;28.14;53136921.40
Case 283;240.00;346.67;90.00;1.53;73.33;123.33;114.97;21.29;53758360.00
Case 284;240.00;346.67;90.00;1.53;73.33;130.00;115.02;14.61;53371640.47
Case 285;240.00;346.67;90.00;1.53;80.00;110.00;110.00;38.94;52970965.05
Case 286;240.00;346.67;90.00;1.53;80.00;116.67;116.10;26.72;54246809.32
Case 287;240.00;346.67;90.00;1.53;80.00;123.33;116.48;19.79;55132246.38
Case 288;240.00;346.67;90.00;1.53;80.00;130.00;116.54;13.15;54622194.16
Case 289;240.00;346.67;90.00;1.77;60.00;110.00;109.97;39.18;49580814.26
Case 290;240.00;346.67;90.00;1.77;60.00;116.67;112.01;30.81;51508338.96
Case 291;240.00;346.67;90.00;1.77;60.00;123.33;112.18;24.08;53176790.12
Case 292;240.00;346.67;90.00;1.77;60.00;130.00;112.23;17.43;53946307.51
Case 293;240.00;346.67;90.00;1.77;66.67;110.00;110.03;38.96;51103647.38
Case 294;240.00;346.67;90.00;1.77;66.67;116.67;113.54;29.35;52827396.45
Case 295;240.00;346.67;90.00;1.77;66.67;123.33;113.76;22.53;54586666.35
Case 296;240.00;346.67;90.00;1.77;66.67;130.00;113.82;15.85;55239522.66
Case 297;240.00;346.67;90.00;1.77;73.33;110.00;110.02;39.02;52610282.51
Case 298;240.00;346.67;90.00;1.77;73.33;116.67;114.99;27.87;54089380.53
Case 299;240.00;346.67;90.00;1.77;73.33;123.33;115.30;20.98;55985934.84
Case 300;240.00;346.67;90.00;1.77;73.33;130.00;115.38;14.27;56585307.74
Case 301;240.00;346.67;90.00;1.77;80.00;110.00;110.05;39.02;54105476.88
Case 302;240.00;346.67;90.00;1.77;80.00;116.67;116.40;26.48;55264470.17
Case 303;240.00;346.67;90.00;1.77;80.00;123.33;116.82;19.49;57361680.98
Case 304;240.00;346.67;90.00;1.77;80.00;130.00;116.92;12.79;57990359.28
Case 305;240.00;346.67;90.00;2.00;60.00;110.00;109.97;39.30;50428921.54
Case 306;240.00;346.67;90.00;2.00;60.00;116.67;112.21;30.65;52316816.42
Case 307;240.00;346.67;90.00;2.00;60.00;123.33;112.40;23.90;53991880.43
Case 308;240.00;346.67;90.00;2.00;60.00;130.00;112.47;17.21;55474982.00
